laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Lenovo,intel,i5,2,ddr3,8gb,ssd,128gb, 14``,29250,used,https://www.kupindo.com/Laptopovi/46282021_Lenovo-i5-8gb-128-ssd-Intel-HD-Graphics-4000-Akcija,46282021
Dell,intel,i5,2,ddr3,4 gb,ssd,,15``,29100,used,https://www.kupindo.com/Laptopovi/53693169_Dell-Latitude-E6540-i5-4310M-ssd-128gb-full-HD,53693169
Hewlett Packard,intel,i5,2,ddr3,8gb,ssd,, 13``,29000,used,https://www.kupindo.com/Laptopovi/53167989_HP-ProBook-430-G1-Intel-Core-i5-8GB-SSD-13-3-,53167989
Dell,intel,i7,2,ddr3,8gb,ssd,,15``,29000,defective,https://www.kupindo.com/Laptopovi/53630005_Dell-Laptop-sa-4-jezgra-i-8-niti-8GB-Ram-120gb-SSD,53630005
Clevo,intel,i5,2,ddr3,4gb,hdd,500gb,15``,28500,used,https://www.kupindo.com/Laptopovi/48672613_Gejmer-Clevo-W150HR-i5-2410-4Gb-500Gb-Gt555-2Gb,48672613
Toshiba,intel,i5,2,ddr3,8gb,ssd,256 gb, 13``,28440,used,https://www.kupindo.com/Laptopovi/54056277_Toshiba-Z30-i5-4-gen-8gb-ddr3-256gb-SSD-licenca-w,54056277
Lenovo,intel,i5,2,ddr3,4gb,hdd,500 gb, 14``,28440,used,https://www.kupindo.com/Laptopovi/54056413_Lenovo-T440p-i5-4-gen-4gb-DDR3-500gb-Win-10-licenca-G,54056413
Dell,intel,i5,2,ddr3,8gb,hdd,500 gb, 14``,28440,used,https://www.kupindo.com/Laptopovi/54056489_DeLL-E7440-i5-4-gen-8gb-ddr3-500gb-Lic-Win-10-GTA,54056489
Lenovo,intel,i7,2,ddr3,8gb,ssd,8gb, 11``,28440,used,https://www.kupindo.com/Laptopovi/54056501_Lenovo-Yoga-11-i7-3689Y-8gb-ddr3-256gb-ssd-2u1-tablet-,54056501
Toshiba,intel,i5,2,ddr3,8gb,hdd,500 gb, 14``,28440,used,https://www.kupindo.com/Laptopovi/54056509_Toshiba-Z40-i5-4-gen-8gb-ddr3-500gb-HDMI-win-10-GTA-V,54056509
Lenovo,intel,i5,2,ddr3,4gb,hdd,500 gb,15.6`,28400,used,https://www.kupindo.com/Laptopovi/46439809_Lenovo-i5-4gb-500-gb-Intel-HD-Graphics-4000-Akcija,46439809
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,320 gb, 14``,28400,used,https://www.kupindo.com/Laptopovi/46547109_HP-ProBook-i5-4GB-320-GB-Akcija,46547109
